governor,Term of office
Horatio Seymour; May 31 1810 - Feb 12 1886; (aged 75),Jan 1 1853 - Dec 31 1854
Myron H. Clark; Oct 23 1806 - Aug 23 1892; (aged 85),Jan 1 1855 - Dec 31 1856
John Alsop King; Jan 3 1788 - Jul 7 1867; (aged 79),Jan 1 1857 - Dec 31 1858
Edwin D. Morgan; Feb 8 1811 - Feb 14 1883; (aged 72),Jan 1 1859 - Dec 31 1862
Horatio Seymour; May 31 1810 - Feb 12 1886; (aged 75),Jan 1 1863 - Dec 31 1864
Reuben Fenton; Jul 4 1819 - Aug 25 1885; (aged 66),Jan 1 1865 - Dec 31 1868
John Thompson Hoffman; Jan 10 1828 - Mar 24 1888; (aged 60),Jan 1 1869 - Dec 31 1872
John Adams Dix; Jul 24 1798 - Apr 21 1879; (aged 80),Jan 1 1873 - Dec 31 1874
Samuel J. Tilden; Feb 9 1814 - Aug 4 1886; (aged 72),Jan 1 1875 - Dec 31 1876
Lucius Robinson; Nov 4 1810 - Mar 23 1891; (aged 80),Jan 1 1877 - Dec 31 1879
Alonzo B. Cornell; Jan 22 1832 - Oct 15 1904; (aged 72),Jan 1 1880 - Dec 31 1882
Grover Cleveland; Mar 18 1837 - Jun 24 1908; (aged 71),Jan 1 1883 - Jan 6 1885
David B. Hill; Aug 29 1843 - Oct 20 1910; (aged 67),Jan 6 1885 - Dec 31 1891
Roswell P. Flower; Aug 7 1835 - May 12 1899; (aged 63),Jan 1 1892 - Dec 31 1894
Levi P. Morton; May 16 1824 - May 16 1920; (aged 96),Jan 1 1895 - Dec 31 1896
Frank S. Black; Mar 8 1853 - Mar 22 1913; (aged 60),Jan 1 1897 - Dec 31 1898
Theodore Roosevelt; Oct 27 1858 - Jan 6 1919; (aged 60),Jan 1 1899 - Dec 31 1900
Frank W. Higgins; Aug 18 1856 - Feb 12 1907; (aged 50,Jan 1 1905 - Dec 31 1906
Charles Evans Hughes; Apr 11 1862 - Aug 27 1948; (aged 86),Jan 1 1907 - Oct 6 1910
Horace White; Oct 7 1865 - Nov 27 1943; (aged 78),Oct 6 1910 - Dec 31 1910
John Alden Dix; Dec 25 1860 - Apr 9 1928; (aged 67),Jan 1 1911 - Dec 31 1912
William Sulzer; Mar 18 1863 - Nov 6 1941; (aged 78),Jan 1 1913 - Oct 17 1913
Martin H. Glynn; Sep 27 1871 - Dec 14 1924; (aged 53),Oct 17 1913 - Dec 31 1914
Charles S. Whitman; Sep 29 1868 - Mar 29 1947; (aged 78),Jan 1 1915 - Dec 31 1918
Al Smith; Dec 30 1873 - Oct 4 1944; (aged 70),Jan 1 1919 - Dec 31 1920
Nathan L. Miller; Oct 10 1868 - Jun 26 1953; (aged 84),Jan 1 1921 - Dec 31 1922
Al Smith; Dec 30 1873 - Oct 4 1944; (aged 70),Jan 1 1923 - Dec 31 1928
Franklin D. Roosevelt; Jan 30 1882 - Apr 12 1945; (aged 63),Jan 1 1929 - Dec 31 1932
Herbert H. Lehman; Mar 28 1878 - Dec 5 1963; (aged 85),Jan 1 1933 - Dec 3 1942
Charles Poletti; Jul 2 1903 - Aug 8 2002; (aged 99),Dec 3 1942 - Dec 31 1942
Thomas Dewey; Mar 24 1902 - Mar 16 1971; (aged 68),Jan 1 1943 - Dec 31 1954
W. Averell Harriman; Nov 15 1891 - Jul 26 1986; (aged 94),Jan 1 1955 - Dec 31 1958
Nelson Rockefeller; Jul 8 1908 - Jan 26 1979; (aged 70),Jan 1 1959 - Dec 18 1973
Malcolm Wilson; Feb 26 1914 - Mar 13 2000; (aged 86),Dec 18 1973 - Dec 31 1974
Hugh Carey; Apr 11 1919 - Aug 7 2011; (aged 92),Jan 1 1975 - Dec 31 1982
Mario Cuomo; Jun 15 1932 - Jan 1 2015; (aged 82),Jan 1 1983 - Dec 31 1994
